"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"2742","75.530373","0.000160","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=82/20992, ttl=128 (request in 2741)"
"2795","76.507260","0.003749","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=83/21248, ttl=1 (reply in 2796)"
"2796","76.507453","0.000193","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=83/21248, ttl=128 (request in 2795)"
"2822","77.530226","0.003868","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=84/21504, ttl=1 (reply in 2823)"
"2823","77.530419","0.000193","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=84/21504, ttl=128 (request in 2822)"
"2843","78.555063","0.004304","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=85/21760, ttl=1 (reply in 2844)"
"2844","78.555250","0.000187","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=85/21760, ttl=128 (request in 2843)"
"2864","79.575944","0.000072","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=86/22016, ttl=1 (reply in 2865)"
"2865","79.576136","0.000192","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=86/22016, ttl=128 (request in 2864)"
"2884","80.543176","0.009320","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=87/22272, ttl=1 (reply in 2885)"
"2885","80.543361","0.000185","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=87/22272, ttl=128 (request in 2884)"
"2922","81.621362","0.193103","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=88/22528, ttl=1 (reply in 2923)"
"2923","81.621534","0.000172","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=88/22528, ttl=128 (request in 2922)"
"2957","82.563708","0.019507","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=89/22784, ttl=1 (reply in 2958)"
"2958","82.563885","0.000177","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=89/22784, ttl=128 (request in 2957)"
"2991","83.564076","0.089181","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=90/23040, ttl=1 (reply in 2992)"
"2992","83.564263","0.000187","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=90/23040, ttl=128 (request in 2991)"
"3016","84.583324","0.093566","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=91/23296, ttl=1 (reply in 3017)"
"3017","84.583527","0.000203","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=91/23296, ttl=128 (request in 3016)"
"3061","85.597195","0.082052","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=92/23552, ttl=1 (reply in 3062)"
"3062","85.597323","0.000128","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=92/23552, ttl=128 (request in 3061)"
"3162","86.606260","0.068293","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=93/23808, ttl=1 (reply in 3163)"
"3163","86.606442","0.000182","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=93/23808, ttl=128 (request in 3162)"
"3183","87.662972","0.102930","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=94/24064, ttl=1 (reply in 3184)"
"3184","87.663139","0.000167","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=94/24064, ttl=128 (request in 3183)"
"3210","88.689047","0.104828","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=95/24320, ttl=1 (reply in 3211)"
"3211","88.689274","0.000227","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=95/24320, ttl=128 (request in 3210)"
"3242","89.714205","0.105150","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=96/24576, ttl=1 (reply in 3243)"
"3243","89.714454","0.000249","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=96/24576, ttl=128 (request in 3242)"
"3268","90.735570","0.103488","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=97/24832, ttl=1 (reply in 3269)"
"3269","90.735819","0.000249","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=97/24832, ttl=128 (request in 3268)"
"3293","91.762024","0.104874","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=98/25088, ttl=1 (reply in 3294)"
"3294","91.762257","0.000233","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=98/25088, ttl=128 (request in 3293)"
"3321","92.783185","0.204498","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=99/25344, ttl=1 (reply in 3322)"
"3322","92.783348","0.000163","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=99/25344, ttl=128 (request in 3321)"
"3353","93.807220","0.304143","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=100/25600, ttl=1 (reply in 3354)"
"3354","93.807401","0.000181","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=100/25600, ttl=128 (request in 3353)"
"3388","94.831585","0.196048","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=101/25856, ttl=1 (reply in 3389)"
"3389","94.831775","0.000190","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=101/25856, ttl=128 (request in 3388)"
"3429","95.862948","0.108541","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=102/26112, ttl=1 (reply in 3430)"
"3430","95.863132","0.000184","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=102/26112, ttl=128 (request in 3429)"
"3471","96.880415","0.279185","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=103/26368, ttl=1 (reply in 3472)"
"3472","96.880604","0.000189","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=103/26368, ttl=128 (request in 3471)"
"3498","97.801893","0.000191","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=104/26624, ttl=1 (reply in 3499)"
"3499","97.802027","0.000134","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=104/26624, ttl=128 (request in 3498)"
"3531","98.930430","0.310216","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=105/26880, ttl=1 (reply in 3532)"
"3532","98.930628","0.000198","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=105/26880, ttl=128 (request in 3531)"
"3561","99.953225","0.307359","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=106/27136, ttl=1 (reply in 3562)"
"3562","99.953419","0.000194","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=106/27136, ttl=128 (request in 3561)"
"3595","100.936927","0.005670","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=107/27392, ttl=1 (reply in 3596)"
"3596","100.937112","0.000185","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=107/27392, ttl=128 (request in 3595)"
"3630","101.908159","0.419430","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=108/27648, ttl=1 (reply in 3631)"
"3631","101.908341","0.000182","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=108/27648, ttl=128 (request in 3630)"
"3655","102.923413","0.411600","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=109/27904, ttl=1 (reply in 3656)"
"3656","102.923610","0.000197","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=109/27904, ttl=128 (request in 3655)"
"3680","103.946194","0.307561","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=110/28160, ttl=1 (reply in 3681)"
"3681","103.946428","0.000234","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=110/28160, ttl=128 (request in 3680)"
"3723","104.892408","0.024704","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=111/28416, ttl=1 (reply in 3724)"
"3724","104.892627","0.000219","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=111/28416, ttl=128 (request in 3723)"
"3792","105.918685","0.003280","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=112/28672, ttl=1 (reply in 3793)"
"3793","105.918939","0.000254","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=112/28672, ttl=128 (request in 3792)"
"3898","106.934698","0.018826","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=113/28928, ttl=1 (reply in 3899)"
"3899","106.934887","0.000189","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=113/28928, ttl=128 (request in 3898)"
"3925","108.043021","0.000072","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=114/29184, ttl=1 (reply in 3926)"
"3926","108.043191","0.000170","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=114/29184, ttl=128 (request in 3925)"
"3947","109.064769","0.101673","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=115/29440, ttl=1 (reply in 3948)"
"3948","109.064974","0.000205","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=115/29440, ttl=128 (request in 3947)"
"3972","110.089581","0.206079","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=116/29696, ttl=1 (reply in 3973)"
"3973","110.089752","0.000171","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=116/29696, ttl=128 (request in 3972)"
"3999","111.113331","0.510796","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=117/29952, ttl=1 (reply in 4000)"
"4000","111.113527","0.000196","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=117/29952, ttl=128 (request in 3999)"
"4031","112.013549","0.063950","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=118/30208, ttl=1 (reply in 4032)"
"4032","112.013729","0.000180","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=118/30208, ttl=128 (request in 4031)"
"4063","113.161436","0.307132","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=119/30464, ttl=1 (reply in 4064)"
"4064","113.161625","0.000189","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=119/30464, ttl=128 (request in 4063)"
"4094","114.097530","0.527866","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=120/30720, ttl=1 (reply in 4095)"
"4095","114.097705","0.000175","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=120/30720, ttl=128 (request in 4094)"
"4127","115.107328","0.587619","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=121/30976, ttl=1 (reply in 4128)"
"4128","115.107504","0.000176","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=121/30976, ttl=128 (request in 4127)"
"4177","116.131624","0.303553","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=122/31232, ttl=1 (reply in 4178)"
"4178","116.131812","0.000188","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=122/31232, ttl=128 (request in 4177)"
"4209","117.157965","0.514408","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=123/31488, ttl=1 (reply in 4210)"
"4210","117.158154","0.000189","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=123/31488, ttl=128 (request in 4209)"
"4255","118.182913","0.000164","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=124/31744, ttl=1 (reply in 4256)"
"4256","118.183103","0.000190","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=124/31744, ttl=128 (request in 4255)"
"4281","119.073140","0.001541","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=125/32000, ttl=1 (reply in 4282)"
"4282","119.073298","0.000158","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=125/32000, ttl=128 (request in 4281)"
"4355","120.123733","0.397730","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=126/32256, ttl=1 (reply in 4356)"
"4356","120.123847","0.000114","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=126/32256, ttl=128 (request in 4355)"
"4397","121.148598","0.513173","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=127/32512, ttl=1 (reply in 4398)"
"4398","121.148784","0.000186","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=127/32512, ttl=128 (request in 4397)"
"4419","122.121367","0.051211","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=128/32768, ttl=1 (reply in 4420)"
"4420","122.121539","0.000172","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=128/32768, ttl=128 (request in 4419)"
"4445","123.199493","0.000123","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=129/33024, ttl=1 (reply in 4446)"
"4446","123.199662","0.000169","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=129/33024, ttl=128 (request in 4445)"
"4467","124.223745","0.000104","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=130/33280, ttl=1 (reply in 4468)"
"4468","124.223891","0.000146","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=130/33280, ttl=128 (request in 4467)"
"4521","125.161574","0.016073","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=131/33536, ttl=1 (reply in 4522)"
"4522","125.161797","0.000223","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=131/33536, ttl=128 (request in 4521)"
"4590","126.271172","0.000087","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=132/33792, ttl=1 (reply in 4591)"
"4591","126.271345","0.000173","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=132/33792, ttl=128 (request in 4590)"
"4638","127.297722","0.000131","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=133/34048, ttl=1 (reply in 4639)"
"4639","127.297906","0.000184","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=133/34048, ttl=128 (request in 4638)"
"4664","128.218328","0.000123","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=134/34304, ttl=1 (reply in 4665)"
"4665","128.218501","0.000173","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=134/34304, ttl=128 (request in 4664)"
"4698","129.343694","0.000096","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=135/34560, ttl=1 (reply in 4699)"
"4699","129.343860","0.000166","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=135/34560, ttl=128 (request in 4698)"
"4716","130.265599","0.000127","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=136/34816, ttl=1 (reply in 4717)"
"4717","130.265802","0.000203","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=136/34816, ttl=128 (request in 4716)"
"4751","131.230431","0.042971","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=137/35072, ttl=1 (reply in 4752)"
"4752","131.230632","0.000201","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=137/35072, ttl=128 (request in 4751)"
"4780","132.237378","0.029594","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=138/35328, ttl=1 (reply in 4781)"
"4781","132.237575","0.000197","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=138/35328, ttl=128 (request in 4780)"
"4814","133.336917","0.000112","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=139/35584, ttl=1 (reply in 4815)"
"4815","133.337088","0.000171","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=139/35584, ttl=128 (request in 4814)"
"4846","134.361659","0.000124","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=140/35840, ttl=1 (reply in 4847)"
"4847","134.361829","0.000170","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=140/35840, ttl=128 (request in 4846)"
"4874","135.288105","0.000074","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=141/36096, ttl=1 (reply in 4875)"
"4875","135.288282","0.000177","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=141/36096, ttl=128 (request in 4874)"
"4911","136.291786","0.088939","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=142/36352, ttl=1 (reply in 4912)"
"4912","136.292033","0.000247","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=142/36352, ttl=128 (request in 4911)"
"4987","137.304960","0.071242","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=143/36608, ttl=1 (reply in 4988)"
"4988","137.305076","0.000116","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=143/36608, ttl=128 (request in 4987)"
"5125","138.342913","0.003433","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=144/36864, ttl=1 (reply in 5126)"
"5126","138.343058","0.000145","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=144/36864, ttl=128 (request in 5125)"
"5194","139.581478","0.000072","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=145/37120, ttl=1 (reply in 5195)"
"5195","139.581677","0.000199","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=145/37120, ttl=128 (request in 5194)"
"5220","140.367648","0.066739","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=146/37376, ttl=1 (reply in 5221)"
"5221","140.367835","0.000187","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=146/37376, ttl=128 (request in 5220)"
"5247","141.424006","0.101423","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=147/37632, ttl=1 (reply in 5248)"
"5248","141.424221","0.000215","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=147/37632, ttl=128 (request in 5247)"
"5272","142.450895","0.000560","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=148/37888, ttl=1 (reply in 5273)"
"5273","142.451032","0.000137","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=148/37888, ttl=128 (request in 5272)"
"5320","143.482215","0.001175","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=149/38144, ttl=1 (reply in 5321)"
"5321","143.482363","0.000148","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=149/38144, ttl=128 (request in 5320)"
"5345","144.427751","0.028217","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=150/38400, ttl=1 (reply in 5346)"
"5346","144.427935","0.000184","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=150/38400, ttl=128 (request in 5345)"
"5380","145.525393","0.000127","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=151/38656, ttl=1 (reply in 5381)"
"5381","145.525580","0.000187","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=151/38656, ttl=128 (request in 5380)"
"5424","146.546390","0.000598","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=152/38912, ttl=1 (reply in 5425)"
"5425","146.546565","0.000175","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=152/38912, ttl=128 (request in 5424)"
"5464","147.477339","0.009454","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=153/39168, ttl=1 (reply in 5465)"
"5465","147.477520","0.000181","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=153/39168, ttl=128 (request in 5464)"
"5509","148.499505","0.002455","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=154/39424, ttl=1 (reply in 5510)"
"5510","148.499728","0.000223","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=154/39424, ttl=128 (request in 5509)"
"5960","157.196885","0.000146","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=155/39680, ttl=1 (reply in 5961)"
"5961","157.197075","0.000190","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=155/39680, ttl=128 (request in 5960)"
"6001","158.221096","0.000143","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=156/39936, ttl=1 (reply in 6002)"
"6002","158.221280","0.000184","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=156/39936, ttl=128 (request in 6001)"
"6042","159.347641","0.000128","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=157/40192, ttl=1 (reply in 6043)"
"6043","159.347828","0.000187","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=157/40192, ttl=128 (request in 6042)"
"6061","160.271853","0.108504","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=158/40448, ttl=1 (reply in 6062)"
"6062","160.272047","0.000194","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=158/40448, ttl=128 (request in 6061)"
"6096","161.227109","0.003597","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=159/40704, ttl=1 (reply in 6097)"
"6097","161.227341","0.000232","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=159/40704, ttl=128 (request in 6096)"
"6142","162.211229","0.000126","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=160/40960, ttl=1 (reply in 6143)"
"6143","162.211391","0.000162","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=160/40960, ttl=128 (request in 6142)"
"6187","163.340606","0.000244","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=161/41216, ttl=1 (reply in 6188)"
"6188","163.340819","0.000213","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=161/41216, ttl=128 (request in 6187)"
"6219","164.244078","0.064348","192.168.68.121","192.168.68.119","ICMP","74","Echo (ping) request  id=0x0001, seq=162/41472, ttl=1 (reply in 6220)"
"6220","164.244158","0.000080","192.168.68.119","192.168.68.121","ICMP","74","Echo (ping) reply    id=0x0001, seq=162/41472, ttl=128 (request in 6219)"
