"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"44155","5892.615996","0.358922","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=19/4864, ttl=1 (reply in 44156)"
"44156","5892.616203","0.000207","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=19/4864, ttl=128 (request in 44155)"
"44164","5893.634047","0.044065","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=20/5120, ttl=1 (reply in 44165)"
"44165","5893.634231","0.000184","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=20/5120, ttl=128 (request in 44164)"
"44351","5912.842450","0.100423","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=21/5376, ttl=1 (reply in 44355)"
"44352","5912.842450","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=22/5632, ttl=1 (reply in 44356)"
"44353","5912.842450","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=23/5888, ttl=1 (reply in 44357)"
"44354","5912.842450","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=24/6144, ttl=1 (reply in 44358)"
"44355","5912.842633","0.000183","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=21/5376, ttl=128 (request in 44351)"
"44356","5912.842774","0.000141","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=22/5632, ttl=128 (request in 44352)"
"44357","5912.842862","0.000088","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=23/5888, ttl=128 (request in 44353)"
"44358","5912.842948","0.000086","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=24/6144, ttl=128 (request in 44354)"
"44359","5912.870011","0.027063","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=25/6400, ttl=1 (reply in 44360)"
"44360","5912.870192","0.000181","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=25/6400, ttl=128 (request in 44359)"
"44373","5913.886493","0.019313","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=26/6656, ttl=1 (reply in 44374)"
"44374","5913.886668","0.000175","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=26/6656, ttl=128 (request in 44373)"
"44438","5922.893128","0.323701","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=27/6912, ttl=1 (reply in 44440)"
"44439","5922.893128","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=28/7168, ttl=1 (reply in 44441)"
"44440","5922.893298","0.000170","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=27/6912, ttl=128 (request in 44438)"
"44441","5922.893422","0.000124","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=28/7168, ttl=128 (request in 44439)"
"44442","5922.908210","0.014788","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=29/7424, ttl=1 (reply in 44443)"
"44443","5922.908385","0.000175","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=29/7424, ttl=128 (request in 44442)"
"44449","5923.922024","0.324891","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=30/7680, ttl=1 (reply in 44450)"
"44450","5923.922191","0.000167","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=30/7680, ttl=128 (request in 44449)"
"44522","5933.032829","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=31/7936, ttl=1 (reply in 44533)"
"44523","5933.032829","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=32/8192, ttl=1 (reply in 44534)"
"44533","5933.033140","0.000155","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=31/7936, ttl=128 (request in 44522)"
"44534","5933.033230","0.000090","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=32/8192, ttl=128 (request in 44523)"
"44535","5933.056090","0.022860","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=33/8448, ttl=1 (reply in 44536)"
"44536","5933.056284","0.000194","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=33/8448, ttl=128 (request in 44535)"
"44543","5934.078128","0.036143","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=34/8704, ttl=1 (reply in 44544)"
"44544","5934.078285","0.000157","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=34/8704, ttl=128 (request in 44543)"
"44545","5935.107352","1.029067","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=35/8960, ttl=1 (reply in 44546)"
"44546","5935.107540","0.000188","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=35/8960, ttl=128 (request in 44545)"
"44552","5936.127853","0.143121","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=36/9216, ttl=1 (reply in 44553)"
"44553","5936.127933","0.000080","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=36/9216, ttl=128 (request in 44552)"
"44558","5937.163991","0.255104","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=37/9472, ttl=1 (reply in 44559)"
"44559","5937.164171","0.000180","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=37/9472, ttl=128 (request in 44558)"
"44561","5938.197841","0.363669","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=38/9728, ttl=1 (reply in 44562)"
"44562","5938.198000","0.000159","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=38/9728, ttl=128 (request in 44561)"
"44576","5939.227184","0.269344","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=39/9984, ttl=1 (reply in 44577)"
"44577","5939.227358","0.000174","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=39/9984, ttl=128 (request in 44576)"
"44582","5940.245481","0.475879","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=40/10240, ttl=1 (reply in 44583)"
"44583","5940.245630","0.000149","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=40/10240, ttl=128 (request in 44582)"
"44591","5941.277540","0.584284","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=41/10496, ttl=1 (reply in 44592)"
"44592","5941.277731","0.000191","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=41/10496, ttl=128 (request in 44591)"
"44599","5942.313485","0.288362","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=42/10752, ttl=1 (reply in 44600)"
"44600","5942.313645","0.000160","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=42/10752, ttl=128 (request in 44599)"
"44603","5943.329895","0.784010","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=43/11008, ttl=1 (reply in 44604)"
"44604","5943.330067","0.000172","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=43/11008, ttl=128 (request in 44603)"
"44608","5944.407804","0.027140","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=44/11264, ttl=1 (reply in 44609)"
"44609","5944.407956","0.000152","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=44/11264, ttl=128 (request in 44608)"
"44614","5945.375081","0.065170","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=45/11520, ttl=1 (reply in 44615)"
"44615","5945.375149","0.000068","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=45/11520, ttl=128 (request in 44614)"
"44619","5946.401384","0.592938","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=46/11776, ttl=1 (reply in 44620)"
"44620","5946.401565","0.000181","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=46/11776, ttl=128 (request in 44619)"
"44625","5947.430527","0.083612","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=47/12032, ttl=1 (reply in 44626)"
"44626","5947.430738","0.000211","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=47/12032, ttl=128 (request in 44625)"
"44632","5948.453185","0.069792","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=48/12288, ttl=1 (reply in 44633)"
"44633","5948.453349","0.000164","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=48/12288, ttl=128 (request in 44632)"
"44637","5949.476236","0.486858","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=49/12544, ttl=1 (reply in 44638)"
"44638","5949.476445","0.000209","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=49/12544, ttl=128 (request in 44637)"
"44642","5950.522013","0.000121","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=50/12800, ttl=1 (reply in 44643)"
"44643","5950.522181","0.000168","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=50/12800, ttl=128 (request in 44642)"
"44650","5951.549915","0.001304","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=51/13056, ttl=1 (reply in 44651)"
"44651","5951.550126","0.000211","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=51/13056, ttl=128 (request in 44650)"
"44655","5952.558640","0.295372","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=52/13312, ttl=1 (reply in 44656)"
"44656","5952.558832","0.000192","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=52/13312, ttl=128 (request in 44655)"
"44669","5953.598091","0.000560","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=53/13568, ttl=1 (reply in 44670)"
"44670","5953.598289","0.000198","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=53/13568, ttl=128 (request in 44669)"
"44677","5954.618354","0.103169","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=54/13824, ttl=1 (reply in 44678)"
"44678","5954.618559","0.000205","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=54/13824, ttl=128 (request in 44677)"
"44706","5960.160119","0.195997","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=55/14080, ttl=1 (reply in 44707)"
"44707","5960.160290","0.000171","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=55/14080, ttl=128 (request in 44706)"
"44708","5960.278469","0.118179","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=56/14336, ttl=1 (reply in 44709)"
"44709","5960.278688","0.000219","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=56/14336, ttl=128 (request in 44708)"
"44714","5961.300046","0.534348","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=57/14592, ttl=1 (reply in 44715)"
"44715","5961.300196","0.000150","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=57/14592, ttl=128 (request in 44714)"
"44745","5962.478498","0.036035","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=58/14848, ttl=1 (reply in 44746)"
"44746","5962.478659","0.000161","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=58/14848, ttl=128 (request in 44745)"
"44759","5963.345830","0.019967","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=59/15104, ttl=1 (reply in 44760)"
"44760","5963.345969","0.000139","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=59/15104, ttl=128 (request in 44759)"
"44775","5964.372208","0.016121","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=60/15360, ttl=1 (reply in 44776)"
"44776","5964.372381","0.000173","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=60/15360, ttl=128 (request in 44775)"
"44804","5965.407304","0.022085","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=61/15616, ttl=1 (reply in 44805)"
"44805","5965.407483","0.000179","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=61/15616, ttl=128 (request in 44804)"
"44817","5966.402539","0.099010","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=62/15872, ttl=1 (reply in 44818)"
"44818","5966.402734","0.000195","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=62/15872, ttl=128 (request in 44817)"
"44834","5967.469220","0.036850","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=63/16128, ttl=1 (reply in 44835)"
"44835","5967.469410","0.000190","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=63/16128, ttl=128 (request in 44834)"
"44846","5968.451385","0.086972","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=64/16384, ttl=1 (reply in 44847)"
"44847","5968.451612","0.000227","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=64/16384, ttl=128 (request in 44846)"
"44857","5969.451236","0.085884","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=65/16640, ttl=1 (reply in 44858)"
"44858","5969.451410","0.000174","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=65/16640, ttl=128 (request in 44857)"
"44866","5970.472485","0.124305","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=66/16896, ttl=1 (reply in 44867)"
"44867","5970.472695","0.000210","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=66/16896, ttl=128 (request in 44866)"
"44871","5971.492998","0.079389","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=67/17152, ttl=1 (reply in 44872)"
"44872","5971.493071","0.000073","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=67/17152, ttl=128 (request in 44871)"
"44889","5972.567952","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=68/17408, ttl=1 (reply in 44890)"
"44890","5972.568423","0.000471","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=68/17408, ttl=128 (request in 44889)"
"44897","5973.572378","0.000280","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=69/17664, ttl=1 (reply in 44898)"
"44898","5973.572585","0.000207","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=69/17664, ttl=128 (request in 44897)"
"44913","5974.593046","0.005381","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=70/17920, ttl=1 (reply in 44914)"
"44914","5974.593201","0.000155","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=70/17920, ttl=128 (request in 44913)"
"44942","5979.514761","0.521970","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=71/18176, ttl=1 (reply in 44943)"
"44943","5979.514921","0.000160","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=71/18176, ttl=128 (request in 44942)"
"44949","5980.272589","0.337034","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=72/18432, ttl=1 (reply in 44950)"
"44950","5980.272722","0.000133","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=72/18432, ttl=128 (request in 44949)"
"44964","5981.286720","0.140811","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=73/18688, ttl=1 (reply in 44965)"
"44965","5981.286872","0.000152","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=73/18688, ttl=128 (request in 44964)"
"44971","5982.301477","0.135205","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=74/18944, ttl=1 (reply in 44972)"
"44972","5982.301673","0.000196","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=74/18944, ttl=128 (request in 44971)"
"44976","5983.333339","0.248466","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=75/19200, ttl=1 (reply in 44977)"
"44977","5983.333446","0.000107","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=75/19200, ttl=128 (request in 44976)"
"44987","5984.362935","0.038300","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=76/19456, ttl=1 (reply in 44988)"
"44988","5984.363118","0.000183","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=76/19456, ttl=128 (request in 44987)"
"44991","5985.392624","0.869071","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=77/19712, ttl=1 (reply in 44992)"
"44992","5985.392808","0.000184","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=77/19712, ttl=128 (request in 44991)"
"45004","5986.536881","0.071717","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=78/19968, ttl=1 (reply in 45005)"
"45005","5986.537076","0.000195","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=78/19968, ttl=128 (request in 45004)"
"45010","5987.458925","0.477568","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=79/20224, ttl=1 (reply in 45011)"
"45011","5987.459075","0.000150","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=79/20224, ttl=128 (request in 45010)"
"45025","5988.478475","0.170740","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=80/20480, ttl=1 (reply in 45026)"
"45026","5988.478646","0.000171","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=80/20480, ttl=128 (request in 45025)"
"45036","5989.508855","0.375113","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=81/20736, ttl=1 (reply in 45037)"
"45037","5989.509041","0.000186","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=81/20736, ttl=128 (request in 45036)"
"45045","5990.535489","0.174917","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=82/20992, ttl=1 (reply in 45046)"
"45046","5990.535676","0.000187","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=82/20992, ttl=128 (request in 45045)"
"45051","5991.562632","0.282753","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=83/21248, ttl=1 (reply in 45052)"
"45052","5991.562819","0.000187","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=83/21248, ttl=128 (request in 45051)"
"45075","5992.596117","0.072201","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=84/21504, ttl=1 (reply in 45076)"
"45076","5992.596284","0.000167","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=84/21504, ttl=128 (request in 45075)"
"45088","5993.644165","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=85/21760, ttl=1 (reply in 45089)"
"45089","5993.644523","0.000358","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=85/21760, ttl=128 (request in 45088)"
"45101","5994.656570","0.038853","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=86/22016, ttl=1 (reply in 45102)"
"45102","5994.656751","0.000181","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=86/22016, ttl=128 (request in 45101)"
"45117","5995.900962","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=87/22272, ttl=1 (reply in 45119)"
"45119","5995.901255","0.000293","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=87/22272, ttl=128 (request in 45117)"
"45135","5996.723697","0.002649","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=88/22528, ttl=1 (reply in 45136)"
"45136","5996.723821","0.000124","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=88/22528, ttl=128 (request in 45135)"
"45149","5997.885689","0.000000","192.168.0.147","192.168.0.120","ICMP","74","Echo (ping) request  id=0x0001, seq=89/22784, ttl=1 (reply in 45150)"
"45150","5997.885998","0.000309","192.168.0.120","192.168.0.147","ICMP","74","Echo (ping) reply    id=0x0001, seq=89/22784, ttl=128 (request in 45149)"
